GENESIS-Tabelle: 61111-0002
Consumer price index (incl. rates of change):;;;;
Germany, months;;;;
Consumer price index for Germany;;;;
Germany;;;;
;;Consumer price index;Change on previous year's month;Change on previous month
;;2015=100;in (%);in (%)
1991;January;64.0;.;.
1991;February;64.3;.;+0.5
1991;March;64.3;.;-
1991;April;64.5;.;+0.3
1991;May;64.7;.;+0.3
1991;June;65.1;.;+0.6
1991;July;65.8;.;+1.1
1991;August;65.8;.;-
1991;September;65.8;.;-
1991;October;66.9;.;+1.7
1991;November;67.1;.;+0.3
1991;December;67.2;.;+0.1
1992;January;67.6;+5.6;+0.6
1992;February;68.0;+5.8;+0.6
1992;March;68.3;+6.2;+0.4
1992;April;68.5;+6.2;+0.3
1992;May;68.7;+6.2;+0.3
1992;June;68.9;+5.8;+0.3
1992;July;69.1;+5.0;+0.3
1992;August;69.1;+5.0;-
1992;September;69.1;+5.0;-
1992;October;69.1;+3.3;-
1992;November;69.4;+3.4;+0.4
1992;December;69.5;+3.4;+0.1
1993;January;70.7;+4.6;+1.7
1993;February;71.2;+4.7;+0.7
1993;March;71.4;+4.5;+0.3
1993;April;71.6;+4.5;+0.3
1993;May;71.7;+4.4;+0.1
1993;June;71.9;+4.4;+0.3
1993;July;72.3;+4.6;+0.6
1993;August;72.3;+4.6;-
1993;September;72.2;+4.5;-0.1
1993;October;72.2;+4.5;-
1993;November;72.3;+4.2;+0.1
1993;December;72.5;+4.3;+0.3
1994;January;72.8;+3.0;+0.4
1994;February;73.4;+3.1;+0.8
1994;March;73.5;+2.9;+0.1
1994;April;73.6;+2.8;+0.1
1994;May;73.8;+2.9;+0.3
1994;June;73.9;+2.8;+0.1
1994;July;74.0;+2.4;+0.1
1994;August;74.2;+2.6;+0.3
1994;September;74.0;+2.5;-0.3
1994;October;73.9;+2.4;-0.1
1994;November;74.0;+2.4;+0.1
1994;December;74.2;+2.3;+0.3
1995;January;74.5;+2.3;+0.4
1995;February;74.9;+2.0;+0.5
1995;March;74.9;+1.9;-
1995;April;75.0;+1.9;+0.1
1995;May;75.0;+1.6;-
1995;June;75.1;+1.6;+0.1
1995;July;75.3;+1.8;+0.3
1995;August;75.3;+1.5;-
1995;September;75.3;+1.8;-
1995;October;75.1;+1.6;-0.3
1995;November;75.1;+1.5;-
1995;December;75.3;+1.5;+0.3
1996;January;75.5;+1.3;+0.3
1996;February;76.0;+1.5;+0.7
1996;March;76.0;+1.5;-
1996;April;76.0;+1.3;-
1996;May;76.1;+1.5;+0.1
1996;June;76.2;+1.5;+0.1
1996;July;76.3;+1.3;+0.1
1996;August;76.3;+1.3;-
1996;September;76.3;+1.3;-
1996;October;76.3;+1.6;-
1996;November;76.2;+1.5;-0.1
1996;December;76.5;+1.6;+0.4
1997;January;77.1;+2.1;+0.8
1997;February;77.2;+1.6;+0.1
1997;March;77.2;+1.6;-
1997;April;77.1;+1.4;-0.1
1997;May;77.3;+1.6;+0.3
1997;June;77.4;+1.6;+0.1
1997;July;78.1;+2.4;+0.9
1997;August;78.1;+2.4;-
1997;September;78.0;+2.2;-0.1
1997;October;77.9;+2.1;-0.1
1997;November;77.9;+2.2;-
1997;December;78.1;+2.1;+0.3
1998;January;78.1;+1.3;-
1998;February;78.2;+1.3;+0.1
1998;March;78.1;+1.2;-0.1
1998;April;78.2;+1.4;+0.1
1998;May;78.3;+1.3;+0.1
1998;June;78.4;+1.3;+0.1
1998;July;78.7;+0.8;+0.4
1998;August;78.5;+0.5;-0.3
1998;September;78.3;+0.4;-0.3
1998;October;78.2;+0.4;-0.1
1998;November;78.2;+0.4;-
1998;December;78.3;+0.3;+0.1
1999;January;78.2;+0.1;-0.1
1999;February;78.3;+0.1;+0.1
1999;March;78.3;+0.3;-
1999;April;78.7;+0.6;+0.5
1999;May;78.7;+0.5;-
1999;June;78.8;+0.5;+0.1
1999;July;79.2;+0.6;+0.5
1999;August;79.1;+0.8;-0.1
1999;September;78.9;+0.8;-0.3
1999;October;78.8;+0.8;-0.1
1999;November;79.0;+1.0;+0.3
1999;December;79.3;+1.3;+0.4
2000;January;79.5;+1.7;+0.3
2000;February;79.5;+1.5;-
2000;March;79.5;+1.5;-
2000;April;79.5;+1.0;-
2000;May;79.5;+1.0;-
2000;June;79.8;+1.3;+0.4
2000;July;80.2;+1.3;+0.5
2000;August;80.0;+1.1;-0.2
2000;September;80.2;+1.6;+0.3
2000;October;80.1;+1.6;-0.1
2000;November;80.2;+1.5;+0.1
2000;December;80.8;+1.9;+0.7
2001;January;80.6;+1.4;-0.2
2001;February;81.0;+1.9;+0.5
2001;March;81.0;+1.9;-
2001;April;81.4;+2.4;+0.5
2001;May;81.7;+2.8;+0.4
2001;June;81.8;+2.5;+0.1
2001;July;81.9;+2.1;+0.1
2001;August;81.7;+2.1;-0.2
2001;September;81.7;+1.9;-
2001;October;81.6;+1.9;-0.1
2001;November;81.4;+1.5;-0.2
2001;December;82.2;+1.7;+1.0
2002;January;82.2;+2.0;-
2002;February;82.5;+1.9;+0.4
2002;March;82.7;+2.1;+0.2
2002;April;82.6;+1.5;-0.1
2002;May;82.7;+1.2;+0.1
2002;June;82.7;+1.1;-
2002;July;82.8;+1.1;+0.1
2002;August;82.7;+1.2;-0.1
2002;September;82.7;+1.2;-
2002;October;82.6;+1.2;-0.1
2002;November;82.3;+1.1;-0.4
2002;December;83.1;+1.1;+1.0
2003;January;83.1;+1.1;-
